periodname,county,brucellosis,rift_valley_fever,anthrax,brucella
January 2023,Bomet County,57,,,248
January 2023,West Pokot County,314,,,1663
January 2023,Baringo County,562,,,1236
January 2023,Isiolo County,98,,92,421
January 2023,Kitui County,188,,,531
January 2023,Trans Nzoia County,449,,,2017
January 2023,Migori County,454,,,881
January 2023,Kiambu County,11,,,198
January 2023,Nyamira County,192,,,694
January 2023,Busia County,107,,,622
January 2023,Kajiado County,86,,4,756
January 2023,Muranga County,26,,,50
January 2023,Kwale County,41,,,33
January 2023,Tharaka Nithi County,66,,,504
January 2023,Machakos County,51,,,174
January 2024,Mandera County,56,,,249
January 2024,Kakamega County,170,,1,757
January 2024,Nairobi County,178,2,15,1024
January 2024,Isiolo County,51,,,444
January 2024,Kajiado County,179,,2,768
January 2024,West Pokot County,394,,,1483
January 2024,Mombasa County,,,,7
January 2024,Narok County,675,,4,2571
January 2024,Migori County,387,,,1450
January 2024,Tana River County,50,,48,249
January 2024,Wajir County,42,,,558
January 2024,Nyeri County,7,,,147
January 2024,Garissa County,76,,,507
January 2024,Kwale County,34,,,13
January 2024,Tharaka Nithi County,40,,8,708
January 2024,Lamu County,5,,,10
January 2024,Vihiga County,75,,1,190
January 2024,Baringo County,414,,,1263
January 2024,Machakos County,70,,,144
January 2024,Uasin Gishu County,487,,6,1646
January 2024,Kiambu County,42,,,204
January 2024,Nyamira County,155,,,625
January 2024,Nakuru County,440,1,44,2470
January 2024,Marsabit County,185,,,681
January 2024,Kirinyaga County,2,,,196
January 2024,Samburu County,46,,,121
January 2024,Busia County,51,,,578
January 2024,Meru County,18,,1,179
January 2024,Siaya County,58,,24,448
January 2024,Trans Nzoia County,367,,,1837
January 2024,Kitui County,218,,,521
January 2024,Taita Taveta County,5,,,51
January 2024,Kisumu County,93,,,531
January 2024,Kilifi County,50,,1,11
January 2024,Makueni County,49,,,144
January 2024,Kisii County,743,,,3819
January 2024,Bomet County,81,,,948
January 2024,Homa Bay County,141,,160,1019
January 2024,Elgeyo Marakwet County,805,,,1519
January 2024,Turkana County,126,,,680
January 2024,Kericho County,772,,,2973
January 2024,Nandi County,489,,,1219
January 2024,Muranga County,25,,,49
January 2024,Nyandarua County,35,,,341
January 2024,Laikipia County,46,,,362
January 2024,Bungoma County,720,,,3509
January 2024,Embu County,56,,3,545
July 2022,Embu County,76,,,603
July 2022,Elgeyo Marakwet County,531,,,1596
July 2022,Siaya County,53,,19,360
July 2022,Kilifi County,6,,,19
July 2022,Machakos County,91,,,242
July 2022,Laikipia County,100,,,269
July 2022,Taita Taveta County,12,,16,73
July 2022,Kiambu County,72,,,260
July 2022,Kisumu County,105,,2,683
July 2022,Nakuru County,471,,,2086
July 2022,Nyandarua County,83,,,495
July 2022,Migori County,463,,,1111
July 2022,Turkana County,119,,,888
July 2022,Nyamira County,142,,1,741
July 2022,Kirinyaga County,2,,,153
July 2022,Busia County,125,,,387
July 2022,Trans Nzoia County,427,,,1742
July 2022,Isiolo County,144,,,382
July 2022,Tana River County,23,,,194
July 2022,Narok County,396,,,2022
July 2022,Marsabit County,182,,,481
July 2022,Kisii County,826,,,2855
July 2022,Kitui County,130,,,408
July 2022,Mombasa County,1,,,20
July 2022,Uasin Gishu County,332,,,1665
July 2022,Makueni County,25,,,220
July 2022,Mandera County,58,,,458
July 2022,Nairobi County,69,,10,757
July 2022,Samburu County,39,,,236
July 2022,Wajir County,45,,,301
July 2022,Homa Bay County,250,,,721
July 2022,Kwale County,10,,,2
July 2022,Meru County,154,,6,217
July 2022,Baringo County,376,,21,1085
July 2022,Nyeri County,4,,,141
July 2022,Garissa County,33,,,437
July 2022,Bomet County,47,,,259
July 2022,Bungoma County,785,,,3777
July 2022,West Pokot County,266,,,1966
July 2022,Kakamega County,144,,,754
July 2022,Kajiado County,143,,143,540
July 2022,Vihiga County,55,,,343
July 2022,Kericho County,568,,,2211
July 2022,Muranga County,2,,,65
July 2022,Tharaka Nithi County,141,,,707
July 2022,Nandi County,591,,,1450
July 2023,Kitui County,196,,,521
July 2023,Makueni County,26,,,49
July 2023,Bomet County,149,,,948
July 2023,Baringo County,459,,,1375
