"","year","date","county","human_incidence","catt_incidence","cam_incidence","goat_incidence","shp_incidence","hum_cases","catt_cases","cam_cases","goat_cases","shp_cases"
"281",2014,2014-12-01,"Meru",0.0613,0,0,0,0,89,0,0,0,0
"282",2014,2014-10-01,"Meru",0.0827,0,0,0,0,120,0,0,0,0
"283",2014,2014-06-01,"Meru",0.1758,0,0,0,0,255,0,0,0,0
"284",2014,2014-07-01,"Meru",0.0455,0,0,0,0,66,0,0,0,0
"285",2014,2014-03-01,"Migori",0.1123,0,NA,0,0,111,0,0,0,0
"286",2014,2014-09-01,"Migori",0.0465,0,NA,0,0,46,0,0,0,0
"287",2014,2014-02-01,"Migori",0.085,0,NA,0,0,84,0,0,0,0
"288",2014,2014-12-01,"Migori",0.1396,0,NA,0,0,138,0,0,0,0
"289",2014,2014-01-01,"Migori",0.1113,0,NA,0,0,110,0,0,0,0
"290",2014,2014-11-01,"Migori",0.1467,0,NA,0,0,145,0,0,0,0
"291",2014,2014-10-01,"Migori",0.2854,0,NA,0,0,282,0,0,0,0
"292",2014,2014-08-01,"Migori",0.0516,0,NA,0,0,51,0,0,0,0
"293",2014,2014-04-01,"Migori",0.0546,0,NA,0,0,54,0,0,0,0
"294",2014,2014-05-01,"Migori",0.0708,0,NA,0,0,70,0,0,0,0
"295",2014,2014-06-01,"Migori",0.088,0,NA,0,0,87,0,0,0,0
"296",2014,2014-07-01,"Migori",0.0961,0,NA,0,0,95,0,0,0,0
"297",2014,2014-06-01,"Mombasa",0.0018,0,0,0,0,2,0,0,0,0
"298",2014,2014-05-01,"Mombasa",9e-04,0,0,0,0,1,0,0,0,0
"299",2014,2014-08-01,"Mombasa",0.0129,0,0,0,0,14,0,0,0,0
"300",2014,2014-04-01,"Mombasa",0.0037,0,0,0,0,4,0,0,0,0
"301",2014,2014-10-01,"Mombasa",9e-04,0,0,0,0,1,0,0,0,0
"302",2014,2014-02-01,"Mombasa",0.0065,0,0,0,0,7,0,0,0,0
"303",2014,2014-09-01,"Mombasa",0.012,0,0,0,0,13,0,0,0,0
"304",2014,2014-11-01,"Mombasa",0.0028,0,0,0,0,3,0,0,0,0
"305",2014,2014-03-01,"Mombasa",0.0129,0,0,0,0,14,0,0,0,0
"306",2014,2014-01-01,"Mombasa",0.0342,0,0,0,0,37,0,0,0,0
"307",2014,2014-06-01,"Murang'a",0.0569,0,NA,0,0,57,0,0,0,0
"308",2014,2014-07-01,"Murang'a",0.007,0,NA,0,0,7,0,0,0,0
"309",2014,2014-02-01,"Murang'a",0.0409,0,NA,0,0,41,0,0,0,0
"310",2014,2014-10-01,"Murang'a",0.006,0,NA,0,0,6,0,0,0,0
"311",2014,2014-08-01,"Murang'a",0.6112,0,NA,0,0,612,0,0,0,0
"312",2014,2014-03-01,"Murang'a",0.0399,0,NA,0,0,40,0,0,0,0
"313",2014,2014-01-01,"Murang'a",0.0639,0,NA,0,0,64,0,0,0,0
"314",2014,2014-11-01,"Murang'a",0.013,0,NA,0,0,13,0,0,0,0
"315",2014,2014-12-01,"Murang'a",0.035,0,NA,0,0,35,0,0,0,0
"316",2014,2014-05-01,"Murang'a",0.0699,0,NA,0,0,70,0,0,0,0
"317",2014,2014-04-01,"Murang'a",0.2367,0,NA,0,0,237,0,0,0,0
