county,Species,Total cases,Average cases,Clinically confirmed,Lab confirmed,Post Mortem,Mean incidence rate,Minimum incidence rate,Median incidence rate,Maximum incidence rate,SD of incidence rate
Kajiado,Human,"125,373.0","13,930.33","27,090.0 (21.61%)","98,283 (78.39%)",0 (0%),"12,574.63",4705.51,13778.36,18904.57,5338.67
Kajiado,Cattle,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kajiado,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kajiado,Goat,23.0,2.56,23.0 (100%),0 (0%),0 (0%),2.91,0,0,26.2,8.73
Kajiado,Sheep,1.0,0.11,1.0 (100%),0 (0%),0 (0%),0.1,0,0,0.89,0.3
Kakamega,Human,"93,095.0","10,343.89","17,719.0 (19.03%)","75,376 (80.97%)",0 (0%),"5,602.65",1020.33,6144.46,7817.07,1892.61
Kakamega,Cattle,6.0,0.67,2.0 (33.33%),1 (16.67%),3 (50%),1.65,0,0,14.87,4.96
Kakamega,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kakamega,Goat,6.0,0.67,6.0 (100%),0 (0%),0 (0%),8.53,0,0,76.78,25.59
Kakamega,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kericho,Human,"207,841.0","23,093.44","41,048.0 (19.75%)","166,793 (80.25%)",0 (0%),"25,632.77",2991.86,28439.66,34881.7,11066.94
Kericho,Cattle,2.0,0.22,2.0 (100%),0 (0%),0 (0%),0.92,0,0,8.28,2.76
Kericho,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kericho,Goat,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kericho,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kiambu,Human,"77,103.0","8,567.00","10,967.0 (14.22%)","66,136 (85.78%)",0 (0%),"3,619.81",1202.18,3796.53,5322.42,1546.29
Kiambu,Cattle,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kiambu,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kiambu,Goat,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kiambu,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kilifi,Human,"4,922.0",546.89,692.0 (14.06%),"4,230 (85.94%)",0 (0%),369.2,16.66,265.07,908.43,318.76
Kilifi,Cattle,14.0,1.56,14.0 (100%),0 (0%),0 (0%),6.58,0,0,59.21,19.74
Kilifi,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kilifi,Goat,7.0,0.78,0.0 (0%),7 (100%),0 (0%),1.43,0,0,12.91,4.3
Kilifi,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kirinyaga,Human,"15,449.0","1,716.56","1,355.0 (8.77%)","14,094 (91.23%)",0 (0%),"2,799.77",81.98,3014.02,6544.18,1761.49
Kirinyaga,Cattle,2.0,0.22,0.0 (0%),2 (100%),0 (0%),1.91,0,0,17.18,5.73
Kirinyaga,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kirinyaga,Goat,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kirinyaga,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kisii,Human,"312,677.0","34,741.89","67,208.0 (21.49%)","245,469 (78.51%)",0 (0%),"27,247.98",6102.75,31624.33,35555.72,10218.57
Kisii,Cattle,7.0,0.78,7.0 (100%),0 (0%),0 (0%),3.59,0,0,23.06,7.91
Kisii,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kisii,Goat,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kisii,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kisumu,Human,"67,963.0","7,551.44","9,087.0 (13.37%)","58,876 (86.63%)",0 (0%),"6,563.48",1104.06,7177.03,8474.73,2108.4
Kisumu,Cattle,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kisumu,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kisumu,Goat,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kisumu,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kitui,Human,"82,399.0","9,155.44","17,318.0 (21.02%)","65,081 (78.98%)",0 (0%),"7,994.42",1690.34,9048.02,13689.65,4319.66
Kitui,Cattle,2.0,0.22,2.0 (100%),0 (0%),0 (0%),0.65,0,0,2.91,1.28
Kitui,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kitui,Goat,7.0,0.78,7.0 (100%),0 (0%),0 (0%),0.57,0,0,2.92,1.14
Kitui,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kwale,Human,"6,675.0",741.67,"2,540.0 (38.05%)","4,135 (61.95%)",0 (0%),874.21,10.41,689.88,2676.05,889.78
Kwale,Cattle,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kwale,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Kwale,Goat,23.0,2.56,23.0 (100%),0 (0%),0 (0%),6.68,0,0,60.14,20.05
Kwale,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Laikipia,Human,"46,246.0","5,138.44","10,100.0 (21.84%)","36,146 (78.16%)",0 (0%),"10,120.03",3070.08,9138,19027.71,5328.92
Laikipia,Cattle,8.0,0.89,0.0 (0%),8 (100%),0 (0%),3.29,0,0,29.62,9.87
Laikipia,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Laikipia,Goat,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Laikipia,Sheep,2.0,0.22,2.0 (100%),0 (0%),0 (0%),0.36,0,0,3.26,1.09
Lamu,Human,967.0,107.44,229.0 (23.68%),738 (76.32%),0 (0%),736.32,233.13,356.15,2296.77,696.9
Lamu,Cattle,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Lamu,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Lamu,Goat,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Lamu,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Machakos,Human,"62,171.0","6,907.89","16,070.0 (25.85%)","46,101 (74.15%)",0 (0%),"4,899.87",2055.35,5126.91,7543.96,2258.71
Machakos,Cattle,10.0,1.11,10.0 (100%),0 (0%),0 (0%),3.07,0,0,13.8,5.06
Machakos,Camel,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Machakos,Goat,1.0,0.11,1.0 (100%),0 (0%),0 (0%),0.18,0,0,1.6,0.53
Machakos,Sheep,0.0,0.00,0.0 (0%),0 (0%),0 (0%),0,0,0,0,0
Makueni,Human,"63,398.3","7,044.26","15,212.3 (23.99%)","48,186 (76.01%)",0 (0%),"7,261.77",3227.93,4544.41,13739.21,4237.17
Makueni,Cattle,8.0,0.89,8.0 (100%),0 (0%),0 (0%),2.73,0,0,18.42,6.03
